자치구,행정동,인구 합계,면적(km^2),기초생활수급자 인원,65세 이상 인구 수,단장기 외국인 체류자 수,종사자수,신협 수,새마을금고 수,우체국,편의점 수,약국 24시간,ATM 수,응급실 수,은행 수,기초생활수급자 인원_비율,65세 이상 인구 수_비율,단장기 외국인 체류자 수_비율,새마을금고 수_비율,우체국_비율,편의점 수_비율,약국 24시간_비율,ATM 수_비율,응급실 수_비율,은행 수_비율
종로구,사직동,"9,645",1.23,129,"1,781",1088.6688,47522,0,1,2,30,0,16,0,23,0.0133748056,0.1846552618,0.1128739036,0.8130081301,1.62601626,24.3902439,0,13.00813008,0,18.69918699
종로구,삼청동,"2,764",1.49,41,628,237.613325,4601,0,1,2,7,0,4,0,4,0.01483357453,0.2272069465,0.08596719428,0.6711409396,1.342281879,4.697986577,0,2.684563758,0,2.684563758
종로구,부암동,"9,852",2.27,150,"1,793",536.0895833,3454,0,0,1,10,0,5,0,2,0.01522533496,0.1819935039,0.05441428982,0,0.4405286344,4.405286344,0,2.202643172,0,0.8810572687
종로구,평창동,"18,336",8.87,137,"3,420",539.2251375,3447,0,1,0,15,0,4,0,2,0.007471640489,0.1865183246,0.0294080027,0.1127395716,0,1.691093574,0,0.4509582864,0,0.2254791432
종로구,무악동,"8,334",0.36,155,"1,400",95.18273333,1644,0,1,0,4,0,2,1,1,0.01859851212,0.1679865611,0.01142101432,2.777777778,0,11.11111111,0,5.555555556,2.777777778,2.777777778
종로구,교남동,"10,229",0.35,219,"1,616",175.137575,4581,1,2,0,16,1,1,1,3,0.02140971747,0.1579822074,0.01712167123,5.714285714,0,45.71428571,2.857142857,2.857142857,2.857142857,8.571428571
종로구,가회동,"4,259",0.54,70,878,255.580175,12817,0,1,0,7,0,1,0,3,0.01643578305,0.2061516788,0.06000943297,1.851851852,0,12.96296296,0,1.851851852,0,5.555555556
종로구,종로1.2.3.4가동,"8,403",2.35,783,"1,955",2441.405033,108747,1,3,4,107,0,42,0,35,0.09318100678,0.2326550042,0.2905396921,1.276595745,1.70212766,45.53191489,0,17.87234043,0,14.89361702
종로구,종로5.6가동,"5,526",0.60,291,"1,067",929.1359875,24537,2,2,1,24,0,9,0,8,0.05266015201,0.193087224,0.1681389771,3.333333333,1.666666667,40,0,15,0,13.33333333
종로구,이화동,"7,774",0.78,267,"1,358",984.6229667,17244,0,1,2,20,0,15,1,4,0.03434525341,0.1746848469,0.1266559,1.282051282,2.564102564,25.64102564,0,19.23076923,1.282051282,5.128205128
종로구,창신1동,"5,704",0.31,454,"1,234",1096.251963,5907,0,1,0,10,0,4,0,4,0.07959326788,0.2163394109,0.1921900356,3.225806452,0,32.25806452,0,12.90322581,0,12.90322581
종로구,창신2동,"9,137",0.26,450,"1,753",1601.644362,2216,0,1,0,4,0,1,0,1,0.04925030097,0.1918572836,0.1752921486,3.846153846,0,15.38461538,0,3.846153846,0,3.846153846
종로구,창신3동,"6,845",0.23,228,"1,217",219.1358958,895,0,1,0,3,0,1,0,0,0.03330898466,0.1777940102,0.03201400961,4.347826087,0,13.04347826,0,4.347826087,0,0
종로구,숭인1동,"6,146",0.23,311,"1,184",683.6513875,1545,0,0,1,8,0,1,0,1,0.05060201757,0.1926456232,0.1112351753,0,4.347826087,34.7826087,0,4.347826087,0,4.347826087
종로구,숭인2동,"10,140",0.35,424,"1,657",1348.9295,6886,0,1,0,24,0,2,0,3,0.04181459566,0.1634122288,0.1330305227,2.857142857,0,68.57142857,0,5.714285714,0,8.571428571
종로구,청운효자동,"12,220",2.57,180,"2,156",480.9292917,5656,0,2,0,13,0,2,0,4,0.0147299509,0.1764320786,0.03935591585,0.7782101167,0,5.058365759,0,0.7782101167,0,1.556420233
종로구,혜화동,"19,004",1.12,319,"2,679",5367.552167,8747,0,1,1,32,0,8,0,5,0.0167859398,0.140970322,0.2824432839,0.8928571429,0.8928571429,28.57142857,0,7.142857143,0,4.464285714
중구,소공동,"3,286",0.95,46,293,3123.245588,64144,6,2,1,50,0,24,0,27,0.01399878271,0.08916615946,0.9504703554,2.105263158,1.052631579,52.63157895,0,25.26315789,0,28.42105263
중구,회현동,"5,488",0.84,490,"1,348",1861.483717,45216,2,2,2,58,0,23,0,15,0.08928571429,0.2456268222,0.3391916394,2.380952381,2.380952381,69.04761905,0,27.38095238,0,17.85714286
중구,명동,"3,685",0.99,81,751,2804.486404,110390,2,1,2,84,0,27,0,43,0.02198100407,0.2037991859,0.7610546551,1.01010101,2.02020202,84.84848485,0,27.27272727,0,43.43434343
중구,필동,"4,678",1.14,89,907,1917.559275,22404,0,1,0,29,0,11,0,9,0.01902522445,0.1938862762,0.4099100631,0.8771929825,0,25.43859649,0,9.649122807,0,7.894736842
중구,장충동,"5,344",1.36,124,848,1548.273433,9181,0,1,1,14,0,3,0,3,0.02320359281,0.1586826347,0.289721825,0.7352941176,0.7352941176,10.29411765,0,2.205882353,0,2.205882353
중구,광희동,"6,292",0.74,193,"1,115",4493.228296,36451,0,2,0,43,0,18,1,15,0.03067387158,0.1772091545,0.7141176567,2.702702703,0,58.10810811,0,24.32432432,1.351351351,20.27027027
중구,을지로동,"1,909",0.60,128,469,1664.346846,35333,0,0,2,34,1,14,1,10,0.06705081194,0.2456783656,0.8718422452,0,3.333333333,56.66666667,1.666666667,23.33333333,1.666666667,16.66666667
중구,신당5동,"10,728",0.39,420,"1,813",881.0724375,4057,0,0,0,8,0,1,0,2,0.03914988814,0.1689970172,0.08212830327,0,0,20.51282051,0,2.564102564,0,5.128205128
중구,황학동,"13,326",0.33,483,"2,017",1468.717696,5643,0,1,0,13,0,6,0,7,0.03624493471,0.151358247,0.1102144451,3.03030303,0,39.39393939,0,18.18181818,0,21.21212121
중구,중림동,"12,408",0.48,604,"2,080",497.020675,7530,0,1,0,14,0,3,0,3,0.04867827208,0.1676337847,0.04005646962,2.083333333,0,29.16666667,0,6.25,0,6.25
중구,신당동,"9,087",0.55,354,"1,449",3454.807304,29891,1,4,1,31,0,30,0,5,0.0389567514,0.1594585672,0.3801922861,7.272727273,1.818181818,56.36363636,0,54.54545455,0,9.090909091
중구,다산동,"14,350",0.51,450,"2,756",653.037175,9742,0,0,0,16,0,3,0,4,0.03135888502,0.1920557491,0.04550781707,0,0,31.37254902,0,5.882352941,0,7.843137255
중구,약수동,"17,003",0.48,826,"3,789",476.3940458,4122,0,0,1,12,0,9,0,2,0.04857966241,0.2228430277,0.02801823477,0,2.083333333,25,0,18.75,0,4.166666667
중구,청구동,"13,851",0.34,707,"2,719",339.9903042,4419,0,0,0,5,0,2,0,0,0.05104324598,0.196303516,0.02454626411,0,0,14.70588235,0,5.882352941,0,0
중구,동화동,"10,508",0.26,188,"1,871",456.9945375,4045,0,0,0,9,0,3,0,1,0.01789113057,0.1780548154,0.04349015393,0,0,34.61538462,0,11.53846154,0,3.846153846
용산구,후암동,"17,411",0.86,828,"3,006",998.2068417,3658,0,1,1,19,0,3,0,1,0.04755614267,0.1726494745,0.05733196495,1.162790698,1.162790698,22.09302326,0,3.488372093,0,1.162790698
용산구,용산2가동,"10,793",1.96,575,"2,049",1750.262671,2070,0,1,0,20,0,4,0,0,0.05327527101,0.1898452701,0.1621664663,0.5102040816,0,10.20408163,0,2.040816327,0,0
용산구,남영동,"7,832",1.19,"1,265","1,550",1163.335983,20322,1,1,0,31,0,8,0,6,0.1615168539,0.1979060266,0.1485362593,0.8403361345,0,26.05042017,0,6.722689076,0,5.042016807
용산구,원효로2동,"13,924",0.71,435,"2,300",259.4655417,6846,0,0,2,14,0,3,0,2,0.03124102269,0.1651824188,0.01863441121,0,2.816901408,19.71830986,0,4.225352113,0,2.816901408
용산구,효창동,"10,213",0.44,126,"1,492",427.221125,2182,0,1,0,9,0,2,0,1,0.01233721727,0.1460883188,0.04183110986,2.272727273,0,20.45454545,0,4.545454545,0,2.272727273
용산구,용문동,"12,037",0.28,370,"2,124",376.7357083,1789,0,1,0,9,1,1,0,0,0.03073855612,0.1764559276,0.03129813976,3.571428571,0,32.14285714,3.571428571,3.571428571,0,0
용산구,이촌1동,"27,027",2.86,49,"4,361",1388.764933,3613,0,0,1,13,0,5,0,8,0.001813001813,0.1613571614,0.05138435391,0,0.3496503497,4.545454545,0,1.748251748,0,2.797202797
용산구,이촌2동,"8,443",1.22,163,"1,777",208.601975,832,0,1,0,7,0,1,0,0,0.01930593391,0.210470212,0.02470709167,0.8196721311,0,5.737704918,0,0.8196721311,0,0
용산구,이태원1동,"8,225",0.57,227,"1,392",2464.4189,7006,0,1,0,25,0,4,0,5,0.02759878419,0.1692401216,0.2996253982,1.754385965,0,43.85964912,0,7.01754386,0,8.771929825
용산구,이태원2동,"10,594",0.86,283,"1,848",2683.337108,2208,0,1,1,13,0,3,0,5,0.02671323391,0.1744383613,0.253288381,1.162790698,1.162790698,15.11627907,0,3.488372093,0,5.813953488
용산구,서빙고동,"13,913",2.80,335,"2,151",1210.426863,4683,0,1,0,10,0,7,0,1,0.02407820024,0.1546036081,0.08699970265,0.3571428571,0,3.571428571,0,2.5,0,0.3571428571
용산구,보광동,"14,804",0.71,"1,042","2,689",1100.828658,2076,0,1,1,10,0,2,0,1,0.07038638206,0.1816400973,0.07436021737,1.408450704,1.408450704,14.08450704,0,2.816901408,0,1.408450704
용산구,청파동,"20,121",0.91,"1,000","3,285",1330.449013,8542,0,1,1,27,0,5,0,2,0.04969931912,0.1632622633,0.06612241007,1.098901099,1.098901099,29.67032967,0,5.494505495,0,2.197802198
용산구,원효로1동,"16,569",0.59,346,"1,962",1248.507842,10067,1,1,1,20,0,7,0,3,0.02088237069,0.1184139055,0.07535203344,1.694915254,1.694915254,33.89830508,0,11.86440678,0,5.084745763
용산구,한강로동,"23,417",2.90,415,"3,209",2982.396229,41427,3,2,3,49,0,16,0,22,0.01772216766,0.1370371952,0.1273603036,0.6896551724,1.034482759,16.89655172,0,5.517241379,0,7.586206897
용산구,한남동,"22,977",3.01,556,"3,711",3336.165033,17919,0,1,1,26,0,10,1,11,0.02419811115,0.1615093354,0.1451958495,0.3322259136,0.3322259136,8.637873754,0,3.322259136,0.3322259136,3.65448505
성동구,왕십리2동,"16,881",0.41,529,"2,543",437.5764917,2757,1,1,0,10,0,2,0,0,0.0313370061,0.1506427344,0.02592124233,2.43902439,0,24.3902439,0,4.87804878,0,0
성동구,마장동,"23,028",1.05,800,"3,912",1304.0646,12056,0,1,1,19,0,4,0,4,0.03474031614,0.1698801459,0.05662952058,0.9523809524,0.9523809524,18.0952381,0,3.80952381,0,3.80952381
성동구,사근동,"13,335",1.10,239,"1,522",3094.774467,10842,1,0,1,34,0,21,1,3,0.01792275966,0.114135733,0.2320790751,0,0.9090909091,30.90909091,0,19.09090909,0.9090909091,2.727272727
성동구,행당1동,"14,223",0.59,364,"2,118",820.8819292,8651,1,1,1,21,0,7,0,4,0.02559235042,0.1489137313,0.05771510435,1.694915254,1.694915254,35.59322034,0,11.86440678,0,6.779661017
