,노선번호,표준버스정류장ID,역명,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111
0,470,100000001,종로2가사거리,5036.0,5085.0,5343.0,6826.0,6658.0,6599.0,7111.0,6469.0,6053.0,5687.0,6578.0,7328.0
1,741,100000001,종로2가사거리,4235.0,4086.0,4308.0,5487.0,5702.0,5467.0,5879.0,5752.0,5529.0,5400.0,5587.0,6232.0
2,N37,100000001,종로2가사거리,46.0,53.0,53.0,80.0,85.0,84.0,100.0,66.0,58.0,59.0,71.0,306.0
3,100,100000002,창경궁.서울대학교병원,2018.0,1939.0,1950.0,2488.0,2445.0,2378.0,2515.0,2250.0,2131.0,2205.0,2423.0,3114.0
4,102,100000002,창경궁.서울대학교병원,741.0,815.0,713.0,917.0,869.0,823.0,790.0,847.0,837.0,916.0,956.0,1150.0
5,104,100000002,창경궁.서울대학교병원,2250.0,2288.0,2169.0,2807.0,2928.0,2641.0,2904.0,2643.0,2443.0,2366.0,2788.0,3270.0
6,106,100000002,창경궁.서울대학교병원,985.0,1004.0,994.0,1326.0,1370.0,2001.0,1380.0,1238.0,1228.0,1257.0,1501.0,1798.0
7,107,100000002,창경궁.서울대학교병원,729.0,654.0,653.0,906.0,875.0,829.0,829.0,1586.0,809.0,757.0,810.0,962.0
8,140,100000002,창경궁.서울대학교병원,3802.0,3710.0,3762.0,4636.0,4697.0,4452.0,4562.0,4145.0,4197.0,4432.0,4826.0,5501.0
9,143,100000002,창경궁.서울대학교병원,3991.0,3780.0,3909.0,4708.0,4833.0,4315.0,4642.0,4316.0,4193.0,4143.0,4729.0,5577.0
10,150,100000002,창경궁.서울대학교병원,2905.0,2863.0,2798.0,3501.0,3326.0,3070.0,3351.0,3002.0,2986.0,2883.0,3315.0,4131.0
11,151,100000002,창경궁.서울대학교병원,4067.0,3813.0,4001.0,5048.0,5003.0,4690.0,5030.0,4390.0,4507.0,4593.0,4996.0,5869.0
12,160,100000002,창경궁.서울대학교병원,3232.0,3090.0,3339.0,4201.0,4365.0,4237.0,4259.0,3849.0,3725.0,4130.0,4646.0,5586.0
13,162,100000002,창경궁.서울대학교병원,3536.0,3400.0,3311.0,4526.0,4566.0,4052.0,4294.0,3883.0,3839.0,3995.0,4368.0,5415.0
14,171,100000002,창경궁.서울대학교병원,4643.0,4541.0,4539.0,5607.0,5634.0,5132.0,5277.0,5173.0,4879.0,4746.0,5028.0,6163.0
15,172,100000002,창경궁.서울대학교병원,2936.0,2841.0,2692.0,3359.0,3493.0,3284.0,3433.0,2944.0,3005.0,2942.0,3496.0,4102.0
16,272,100000002,창경궁.서울대학교병원,8686.0,8456.0,8132.0,10113.0,10285.0,9738.0,10000.0,8970.0,8994.0,8803.0,9689.0,10978.0
17,301,100000002,창경궁.서울대학교병원,3001.0,2838.0,2753.0,3549.0,3688.0,3459.0,3484.0,3108.0,3494.0,3506.0,3962.0,4454.0
18,710,100000002,창경궁.서울대학교병원,2740.0,2754.0,2615.0,3314.0,3375.0,2983.0,3146.0,2854.0,2687.0,2899.0,3019.0,3763.0
19,100,100000003,명륜3가.성대입구,1693.0,1815.0,1948.0,2681.0,2582.0,2862.0,2846.0,2348.0,2355.0,2247.0,2781.0,3091.0
20,102,100000003,명륜3가.성대입구,889.0,865.0,862.0,1216.0,1158.0,1157.0,1078.0,1051.0,1005.0,1113.0,1339.0,1449.0
21,104,100000003,명륜3가.성대입구,1942.0,1860.0,1995.0,2440.0,2382.0,2459.0,2562.0,2166.0,2249.0,2244.0,2438.0,2992.0
22,106,100000003,명륜3가.성대입구,537.0,549.0,596.0,798.0,791.0,958.0,846.0,846.0,855.0,826.0,982.0,1320.0
23,107,100000003,명륜3가.성대입구,721.0,718.0,707.0,1039.0,981.0,974.0,913.0,2069.0,928.0,914.0,1012.0,1099.0
24,140,100000003,명륜3가.성대입구,6764.0,6943.0,7980.0,11097.0,10490.0,11023.0,10735.0,9428.0,9413.0,9321.0,10259.0,11790.0
25,143,100000003,명륜3가.성대입구,5659.0,5286.0,6214.0,7943.0,7622.0,7633.0,7500.0,6399.0,6439.0,6914.0,7800.0,8563.0
26,150,100000003,명륜3가.성대입구,3274.0,3455.0,3653.0,4567.0,4363.0,4558.0,4315.0,4015.0,3950.0,3863.0,4487.0,4891.0
27,151,100000003,명륜3가.성대입구,3644.0,3603.0,4107.0,5233.0,4734.0,5056.0,4902.0,4215.0,4356.0,4743.0,5392.0,5710.0
28,160,100000003,명륜3가.성대입구,4875.0,4582.0,5383.0,7201.0,6648.0,6644.0,6731.0,5889.0,5888.0,5927.0,7125.0,7352.0
29,162,100000003,명륜3가.성대입구,3634.0,3366.0,3825.0,4829.0,4605.0,4694.0,4601.0,4217.0,4146.0,4210.0,5043.0,5727.0
30,171,100000003,명륜3가.성대입구,4689.0,4547.0,5096.0,6817.0,6651.0,6573.0,6403.0,5856.0,5762.0,5944.0,6701.0,7196.0
31,172,100000003,명륜3가.성대입구,2831.0,2829.0,3011.0,4047.0,3779.0,3822.0,3836.0,3327.0,3384.0,3256.0,4105.0,4523.0
32,272,100000003,명륜3가.성대입구,9305.0,9399.0,10445.0,13463.0,12831.0,13035.0,12807.0,11221.0,11424.0,11607.0,13346.0,14556.0
33,301,100000003,명륜3가.성대입구,8310.0,7936.0,8452.0,11368.0,11213.0,10900.0,10695.0,10061.0,9983.0,9989.0,11378.0,12033.0
34,710,100000003,명륜3가.성대입구,3368.0,3253.0,3550.0,4998.0,4713.0,4795.0,4631.0,4019.0,3893.0,3998.0,4834.0,5750.0
35,470,100000004,종로2가.삼일교,3960.0,3970.0,4634.0,6008.0,6009.0,6215.0,6691.0,5581.0,5486.0,5303.0,6406.0,6213.0
36,501,100000004,종로2가.삼일교,2510.0,2277.0,2850.0,3643.0,3819.0,4108.0,4222.0,3815.0,3891.0,3772.0,4238.0,4233.0
37,701,100000004,종로2가.삼일교,406.0,334.0,380.0,565.0,666.0,709.0,864.0,783.0,791.0,642.0,787.0,823.0
38,741,100000004,종로2가.삼일교,3822.0,3891.0,4549.0,5805.0,6149.0,5827.0,6232.0,5594.0,5308.0,5830.0,5977.0,6336.0
39,N37,100000004,종로2가.삼일교,41.0,45.0,66.0,63.0,106.0,102.0,62.0,92.0,53.0,63.0,117.0,399.0
40,100,100000005,혜화동로터리.여운형활동터,1063.0,1165.0,1132.0,1339.0,1378.0,1407.0,1510.0,1303.0,1238.0,1283.0,1451.0,1527.0
41,102,100000005,혜화동로터리.여운형활동터,213.0,208.0,243.0,270.0,281.0,257.0,316.0,232.0,291.0,300.0,315.0,295.0
42,104,100000005,혜화동로터리.여운형활동터,963.0,1006.0,1002.0,1290.0,1316.0,1224.0,1260.0,1136.0,1156.0,1195.0,1378.0,1316.0
43,106,100000005,혜화동로터리.여운형활동터,275.0,288.0,277.0,347.0,374.0,563.0,372.0,347.0,321.0,290.0,388.0,929.0
44,107,100000005,혜화동로터리.여운형활동터,213.0,204.0,214.0,202.0,248.0,215.0,222.0,2501.0,264.0,278.0,251.0,237.0
