,노선ID,노선명,정류소명,경도,위도,행정동,행정동코드,법정동,법정동코드,지번
0,100100124,17,청암자이아파트,126.9465175,37.53436261,원효로제2동,1117057000,청암동,1117011600,서울특별시 용산구 청암동 109
1,100100124,17,청암동강변삼성아파트,126.9493038,37.53396067,원효로제2동,1117057000,원효로4가,1117011800,서울특별시 용산구 원효로4가 164-1
2,100100124,17,청심경로당,126.9504486,37.53374391,원효로제2동,1117057000,원효로4가,1117011800,서울특별시 용산구 원효로4가 144-2
3,100100124,17,원효2동주민센터,126.9509044,37.53427841,원효로제2동,1117057000,산천동,1117011500,서울특별시 용산구 산천동 187-2
4,100100124,17,산천동,126.9539838,37.53542015,원효로제2동,1117057000,신창동,1117011400,서울특별시 용산구 신창동 56-74
5,100100124,17,신창동세방아파트,126.9550322,37.53574877,원효로제2동,1117057000,신창동,1117011400,서울특별시 용산구 신창동 56-37
6,100100124,17,남이장군사당,126.9579569,37.53670696,용문동,1117059000,용문동,1117012100,서울특별시 용산구 용문동 38-58
7,100100124,17,새마을금고,126.9595028,37.53712596,용문동,1117059000,용문동,1117012100,서울특별시 용산구 용문동 41-50
8,100100124,17,용문시장,126.9607349,37.53663042,용문동,1117059000,용문동,1117012100,서울특별시 용산구 용문동 25-13
9,100100124,17,용산전자상가입구,126.9620434,37.53448282,원효로제1동,1117056000,신계동,1117012300,서울특별시 용산구 신계동 40-6
10,100100124,17,신용산.지하차도,126.9639003,37.53265728,한강로동,1117062500,한강로3가,1117012800,서울특별시 용산구 한강로3가 13-6
11,100100124,17,용산역,126.966155,37.529349,한강로동,1117062500,한강로3가,1117012800,서울특별시 용산구 한강로2가 420-5
12,100100124,17,용산푸르지오써밋,126.9645186,37.52719349,한강로동,1117062500,한강로3가,1117012800,서울특별시 용산구 한강로3가 40-976
13,100100124,17,한강대교북단,126.9640057,37.52525009,한강로동,1117062500,한강로3가,1117012800,서울특별시 용산구 한강로3가 40-678
14,100100124,17,서부이촌동입구,126.959676,37.52369726,한강로동,1117062500,한강로3가,1117012800,서울특별시 용산구 한강로3가 40-941
15,100100124,17,이촌2동대림아파트.새남터성지,126.9562789,37.52614827,이촌제2동,1117064000,이촌동,1117012900,서울특별시 용산구 이촌동 1-38
16,100100124,17,이촌2동주민센터,126.9550134,37.5277168,이촌제2동,1117064000,이촌동,1117012900,서울특별시 용산구 한강로3가 37-2
17,100100124,17,성촌공원.포르쉐센터용산,126.9545558,37.53017356,이촌제2동,1117064000,이촌동,1117012900,서울특별시 용산구 한강로3가 32-3
18,100100124,17,이촌119안전센터.성촌공원,126.9530396,37.53016859,이촌제2동,1117064000,이촌동,1117012900,서울특별시 용산구 이촌동 212-3
19,100100124,17,원효2동산호아파트후문,126.9495515,37.53244309,원효로제2동,,,,서울특별시 용산구 원효로4가 118-17
