,행정동,총생활인구수
0,사직동,1088.6688
1,삼청동,237.613325
2,부암동,536.0895833
3,평창동,539.2251375
4,무악동,95.18273333
5,교남동,175.137575
6,가회동,255.580175
7,종로1.2.3.4가동,2441.405033
8,종로5.6가동,929.1359875
9,이화동,984.6229667
10,창신1동,1096.251963
11,창신2동,1601.644362
12,창신3동,219.1358958
13,숭인1동,683.6513875
14,숭인2동,1348.9295
15,청운효자동,480.9292917
16,혜화동,5367.552167
17,소공동,3123.245588
18,회현동,1861.483717
19,명동,2804.486404
20,필동,1917.559275
21,장충동,1548.273433
22,광희동,4493.228296
23,을지로동,1664.346846
24,신당5동,881.0724375
25,황학동,1468.717696
26,중림동,497.020675
27,신당동,3454.807304
28,다산동,653.037175
29,약수동,476.3940458
30,청구동,339.9903042
31,동화동,456.9945375
32,후암동,998.2068417
33,용산2가동,1750.262671
34,남영동,1163.335983
35,원효로2동,259.4655417
36,효창동,427.221125
37,용문동,376.7357083
38,이촌1동,1388.764933
39,이촌2동,208.601975
40,이태원1동,2464.4189
41,이태원2동,2683.337108
42,서빙고동,1210.426863
43,보광동,1100.828658
44,청파동,1330.449013
45,원효로1동,1248.507842
46,한강로동,2982.396229
47,한남동,3336.165033
48,왕십리2동,437.5764917
49,마장동,1304.0646
50,사근동,3094.774467
51,행당1동,820.8819292
52,행당2동,254.5194417
53,응봉동,127.07128
54,금호1가동,276.3123292
55,금호4가동,380.06095
56,성수1가1동,740.3384542
57,성수1가2동,756.1874667
58,성수2가1동,2021.673892
59,성수2가3동,1221.122163
60,송정동,1052.813492
61,용답동,2191.708008
62,왕십리도선동,1185.666612
63,금호2.3가동,405.9832542
64,옥수동,936.0004333
65,화양동,5405.336075
66,군자동,2108.531542
67,중곡1동,566.0373917
68,중곡2동,605.5570417
69,중곡3동,374.2585875
70,중곡4동,568.7123667
71,능동,786.3798167
72,구의1동,1244.626388
73,구의2동,579.3252375
74,구의3동,588.9284958
75,광장동,549.3196917
76,자양1동,1625.265008
77,자양2동,781.9283042
78,자양3동,968.5447958
79,자양4동,6449.178775
80,회기동,4271.764871
81,휘경1동,3061.517292
82,휘경2동,1314.651808
83,청량리동,1180.294942
84,용신동,2449.417496
85,제기동,4145.490163
86,전농1동,1363.118012
87,전농2동,394.2377248
88,답십리2동,485.8499583
89,장안1동,985.3717
90,장안2동,677.2797042
91,이문1동,4707.295971
92,이문2동,313.9412208
93,답십리1동,686.4124292
94,면목2동,390.844125
95,면목4동,414.4915875
96,면목5동,220.3564542
97,면목7동,457.3598375
98,상봉1동,266.0569958
99,상봉2동,725.5250333
100,중화1동,219.6932417
101,중화2동,789.0782917
102,묵1동,265.5842708
103,묵2동,382.7836125
104,망우3동,250.5015399
105,신내1동,385.7950917
106,신내2동,153.4685417
107,면목본동,1036.921117
108,면목3.8동,435.7246458
109,망우본동,701.5083208
110,돈암1동,221.1502935
111,돈암2동,273.203325
112,안암동,2443.437042
113,보문동,811.2769458
114,정릉1동,330.8430625
115,정릉2동,403.3546583
116,정릉3동,1959.549596
117,정릉4동,567.0970875
118,길음1동,344.1603417
119,길음2동,304.4866625
120,월곡1동,533.6931833
121,월곡2동,721.2120583
122,장위1동,341.7317625
123,장위2동,258.9339458
124,장위3동,177.2864
125,성북동,826.4681125
126,삼선동,1062.833617
127,동선동,1413.662237
128,종암동,2637.1065
129,석관동,815.6521708
130,번1동,456.8627625
131,번2동,157.9059875
132,번3동,120.9733917
133,수유1동,260.509475
134,수유2동,319.9157583
135,수유3동,653.9147208
136,삼양동,303.9419458
137,미아동,561.7402928
138,송중동,999.1698083
139,송천동,542.211375
140,삼각산동,190.7975292
141,우이동,311.0664583
142,인수동,709.340275
143,쌍문1동,195.5877417
144,쌍문2동,264.3060833
145,쌍문3동,216.5510792
146,쌍문4동,83.8274
147,방학1동,517.2547417
148,방학2동,188.4487417
149,방학3동,175.1235083
150,창1동,327.8814625
151,창2동,319.2895167
152,창3동,119.2925625
153,창4동,226.4234875
154,창5동,240.5557917
155,도봉1동,323.9141917
156,도봉2동,282.8497399
157,월계1동,951.0015583
158,월계2동,172.6665958
159,월계3동,282.3492542
160,공릉2동,989.8098917
161,하계1동,428.3079833
162,하계2동,96.00797935
163,중계본동,90.08770417
164,중계1동,132.7527458
165,중계4동,141.2277792
166,상계1동,293.2947125
167,상계2동,408.5990583
168,상계5동,155.7575042
169,상계8동,80.86890833
170,상계9동,132.0940125
171,상계10동,77.15218902
172,상계3.4동,157.4600208
173,상계6.7동,406.8571542
174,중계2.3동,209.4509417
175,공릉1동,762.0790667
176,녹번동,571.9711875
177,불광1동,398.5134042
178,갈현1동,415.8887375
