,행정동,수
0,사직동,23
1,삼청동,4
2,부암동,2
3,평창동,2
4,무악동,1
5,교남동,3
6,가회동,3
7,종로1.2.3.4가동,35
8,종로5.6가동,8
9,이화동,4
10,창신1동,4
11,창신2동,1
12,창신3동,0
13,숭인1동,1
14,숭인2동,3
15,청운효자동,4
16,혜화동,5
17,소공동,27
18,회현동,15
19,명동,43
20,필동,9
21,장충동,3
22,광희동,15
23,을지로동,10
24,신당5동,2
25,황학동,7
26,중림동,3
27,신당동,5
28,다산동,4
29,약수동,2
30,청구동,0
31,동화동,1
32,후암동,1
33,용산2가동,0
34,남영동,6
35,원효로2동,2
36,효창동,1
37,용문동,0
38,이촌1동,8
39,이촌2동,0
40,이태원1동,5
41,이태원2동,5
42,서빙고동,1
43,보광동,1
44,청파동,2
45,원효로1동,3
46,한강로동,22
47,한남동,11
48,왕십리2동,0
49,마장동,4
50,사근동,3
51,행당1동,4
52,행당2동,2
53,응봉동,0
54,금호1가동,0
55,금호4가동,3
56,성수1가1동,2
57,성수1가2동,5
58,성수2가1동,3
59,성수2가3동,15
60,송정동,0
61,용답동,2
62,왕십리도선동,4
63,금호2.3가동,2
64,옥수동,2
65,화양동,5
66,군자동,5
67,중곡1동,0
68,중곡2동,4
69,중곡3동,1
70,중곡4동,2
71,능동,0
72,구의1동,4
73,구의2동,2
74,구의3동,4
75,광장동,9
76,자양1동,3
77,자양2동,1
78,자양3동,6
79,자양4동,2
80,회기동,5
81,휘경1동,1
82,휘경2동,1
83,청량리동,4
84,용신동,7
85,제기동,5
86,전농1동,2
87,전농2동,2
88,답십리2동,2
89,장안1동,10
90,장안2동,2
91,이문1동,2
92,이문2동,0
93,답십리1동,5
94,면목2동,0
95,면목4동,0
96,면목5동,1
97,면목7동,2
98,상봉1동,1
99,상봉2동,3
100,중화1동,2
101,중화2동,3
102,묵1동,2
103,묵2동,3
104,망우3동,1
105,신내1동,2
106,신내2동,3
107,면목본동,2
108,면목3.8동,1
109,망우본동,4
110,돈암1동,0
111,돈암2동,1
112,안암동,5
113,보문동,4
114,정릉1동,0
115,정릉2동,3
116,정릉3동,1
117,정릉4동,3
118,길음1동,4
119,길음2동,0
120,월곡1동,3
121,월곡2동,4
122,장위1동,1
123,장위2동,2
124,장위3동,0
125,성북동,4
126,삼선동,6
127,동선동,4
128,종암동,2
129,석관동,3
130,번1동,3
131,번2동,0
132,번3동,1
133,수유1동,2
134,수유2동,0
135,수유3동,5
136,삼양동,1
137,미아동,3
138,송중동,1
139,송천동,5
140,삼각산동,1
141,우이동,1
142,인수동,1
143,쌍문1동,1
144,쌍문2동,1
145,쌍문3동,2
146,쌍문4동,0
147,방학1동,6
148,방학2동,0
149,방학3동,3
150,창1동,2
151,창2동,0
152,창3동,0
153,창4동,3
154,창5동,2
155,도봉1동,1
156,도봉2동,3
157,월계1동,2
158,월계2동,0
159,월계3동,3
160,공릉2동,6
161,하계1동,3
162,하계2동,1
163,중계본동,2
164,중계1동,3
165,중계4동,3
166,상계1동,2
167,상계2동,1
168,상계5동,1
169,상계8동,3
170,상계9동,4
171,상계10동,0
172,상계3.4동,0
173,상계6.7동,10
174,중계2.3동,2
175,공릉1동,6
176,녹번동,3
177,불광1동,4
178,갈현1동,2
179,갈현2동,1
180,구산동,0
181,대조동,5
182,응암1동,5
183,응암2동,1
184,신사1동,0
185,신사2동,0
186,증산동,0
187,수색동,2
188,진관동,6
189,불광2동,1
190,응암3동,3
191,역촌동,4
192,천연동,1
193,홍제1동,2
194,홍제3동,3
195,홍제2동,0
196,홍은1동,0
197,홍은2동,2
198,남가좌1동,3
199,남가좌2동,4
200,북가좌1동,2
201,북가좌2동,3
202,충현동,8
203,북아현동,2
204,신촌동,9
205,연희동,7
206,용강동,6
207,대흥동,4
208,염리동,1
209,신수동,1
210,서교동,21
211,합정동,3
212,망원1동,2
213,망원2동,1
214,연남동,1
215,성산1동,2
216,성산2동,3
217,상암동,11
218,도화동,7
219,서강동,4
220,공덕동,9
221,아현동,8
222,목1동,12
223,목2동,2
224,목3동,5
225,목4동,3
226,신월1동,3
227,신월2동,1
228,신월3동,1
229,신월4동,1
230,신월5동,0
231,신월6동,2
232,신월7동,1
233,신정1동,3
234,신정2동,1
235,신정3동,1
236,신정6동,5
237,신정7동,2
238,목5동,9
239,신정4동,7
240,염창동,3
241,등촌1동,5
242,등촌2동,0
243,등촌3동,3
244,화곡본동,0
245,화곡2동,0
246,화곡3동,4
247,화곡4동,2
248,화곡6동,5
249,화곡8동,3
250,가양1동,12
251,가양2동,3
252,가양3동,0
