,구,동,편의점 수
0,종로구,사직동,30.0
1,종로구,삼청동,7.0
2,종로구,부암동,10.0
3,종로구,평창동,15.0
4,종로구,무악동,4.0
5,종로구,교남동,16.0
6,종로구,가회동,7.0
7,종로구,종로1.2.3.4가동,107.0
8,종로구,종로5·6가동,24.0
9,종로구,이화동,20.0
10,종로구,창신1동,10.0
11,종로구,창신2동,4.0
12,종로구,창신3동,3.0
13,종로구,숭인1동,8.0
14,종로구,숭인2동,24.0
15,종로구,청운효자동,13.0
16,종로구,혜화동,32.0
17,중구,소공동,50.0
18,중구,회현동,58.0
19,중구,명동,84.0
20,중구,필동,29.0
21,중구,장충동,14.0
22,중구,광희동,43.0
23,중구,을지로동,34.0
24,중구,신당5동,8.0
25,중구,황학동,13.0
26,중구,중림동,14.0
27,중구,신당동,31.0
28,중구,다산동,16.0
29,중구,약수동,12.0
30,중구,청구동,5.0
31,중구,동화동,9.0
32,용산구,후암동,19.0
33,용산구,용산2가동,20.0
34,용산구,남영동,31.0
35,용산구,원효로2동,14.0
36,용산구,효창동,9.0
37,용산구,용문동,9.0
38,용산구,이촌1동,13.0
39,용산구,이촌2동,7.0
40,용산구,이태원1동,25.0
41,용산구,이태원2동,13.0
42,용산구,서빙고동,10.0
43,용산구,보광동,10.0
44,용산구,청파동,27.0
45,용산구,원효로1동,20.0
46,용산구,한강로동,49.0
47,용산구,한남동,26.0
48,성동구,왕십리2동,10.0
49,성동구,마장동,19.0
50,성동구,사근동,34.0
51,성동구,행당1동,21.0
52,성동구,행당2동,8.0
53,성동구,응봉동,5.0
54,성동구,금호1가동,8.0
55,성동구,금호4가동,7.0
56,성동구,성수1가1동,22.0
57,성동구,성수1가2동,30.0
58,성동구,성수2가1동,23.0
59,성동구,성수2가3동,60.0
60,성동구,송정동,9.0
61,성동구,용답동,14.0
62,성동구,왕십리도선동,25.0
63,성동구,금호2.3가동,17.0
64,성동구,옥수동,14.0
65,광진구,화양동,61.0
66,광진구,군자동,30.0
67,광진구,중곡1동,15.0
68,광진구,중곡2동,27.0
69,광진구,중곡3동,17.0
70,광진구,중곡4동,21.0
71,광진구,능동,17.0
72,광진구,구의1동,28.0
73,광진구,구의2동,19.0
74,광진구,구의3동,32.0
75,광진구,광장동,21.0
76,광진구,자양1동,21.0
77,광진구,자양2동,22.0
78,광진구,자양3동,25.0
79,광진구,자양4동,29.0
80,동대문구,회기동,21.0
81,동대문구,휘경1동,16.0
82,동대문구,휘경2동,17.0
83,동대문구,청량리동,17.0
84,동대문구,용신동,49.0
85,동대문구,제기동,30.0
86,동대문구,전농1동,29.0
87,동대문구,전농2동,17.0
88,동대문구,답십리2동,17.0
89,동대문구,장안1동,57.0
90,동대문구,장안2동,37.0
91,동대문구,이문1동,30.0
92,동대문구,이문2동,12.0
93,동대문구,답십리1동,31.0
94,중랑구,면목2동,22.0
95,중랑구,면목4동,15.0
96,중랑구,면목5동,8.0
97,중랑구,면목7동,18.0
98,중랑구,상봉1동,18.0
99,중랑구,상봉2동,33.0
100,중랑구,중화1동,19.0
101,중랑구,중화2동,20.0
102,중랑구,묵1동,22.0
103,중랑구,묵2동,17.0
104,중랑구,망우3동,12.0
105,중랑구,신내1동,22.0
106,중랑구,신내2동,10.0
107,중랑구,면목본동,29.0
108,중랑구,면목3.8동,21.0
109,중랑구,망우본동,33.0
110,성북구,돈암1동,8.0
111,성북구,돈암2동,5.0
