,lgdng_cd,ctpv_nm,ctgg_nm,adstrd_nm,adstrd_en_nm,lgdng_nm,adstrd_cd,admn_inst_cd
0,1100000000,서울특별시,서울특별시,서울특별시,Seoul,서울특별시,11.0,1100000000
1,1111000000,서울특별시,종로구,종로구,Jongno-gu,종로구,11010.0,1111000000
2,1111010100,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,청운동,1101072.0,1111051500
3,1111010200,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,신교동,1101072.0,1111051500
4,1111010300,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,궁정동,1101072.0,1111051500
5,1111010400,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,효자동,1101072.0,1111051500
6,1111010500,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,창성동,1101072.0,1111051500
7,1111010800,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,통인동,1101072.0,1111051500
8,1111010900,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,누상동,1101072.0,1111051500
9,1111011000,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,누하동,1101072.0,1111051500
10,1111011100,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,옥인동,1101072.0,1111051500
11,1111011900,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,세종로,1101072.0,1111051500
12,1111010600,서울특별시,종로구,사직동,Sajik-dong,통의동,1101053.0,1111053000
13,1111010700,서울특별시,종로구,사직동,Sajik-dong,적선동,1101053.0,1111053000
14,1111011200,서울특별시,종로구,사직동,Sajik-dong,체부동,1101053.0,1111053000
15,1111011300,서울특별시,종로구,사직동,Sajik-dong,필운동,1101053.0,1111053000
16,1111011400,서울특별시,종로구,사직동,Sajik-dong,내자동,1101053.0,1111053000
17,1111011500,서울특별시,종로구,사직동,Sajik-dong,사직동,1101053.0,1111053000
18,1111011600,서울특별시,종로구,사직동,Sajik-dong,도렴동,1101053.0,1111053000
19,1111011700,서울특별시,종로구,사직동,Sajik-dong,당주동,1101053.0,1111053000
20,1111011800,서울특별시,종로구,사직동,Sajik-dong,내수동,1101053.0,1111053000
21,1111011900,서울특별시,종로구,사직동,Sajik-dong,세종로,1101053.0,1111053000
22,1111012000,서울특별시,종로구,사직동,Sajik-dong,신문로1가,1101053.0,1111053000
23,1111012100,서울특별시,종로구,사직동,Sajik-dong,신문로2가,1101053.0,1111053000
24,1111013900,서울특별시,종로구,삼청동,Samcheong-dong,팔판동,1101054.0,1111054000
25,1111014000,서울특별시,종로구,삼청동,Samcheong-dong,삼청동,1101054.0,1111054000
26,1111014100,서울특별시,종로구,삼청동,Samcheong-dong,안국동,1101054.0,1111054000
27,1111014200,서울특별시,종로구,삼청동,Samcheong-dong,소격동,1101054.0,1111054000
28,1111014300,서울특별시,종로구,삼청동,Samcheong-dong,화동,1101054.0,1111054000
29,1111014400,서울특별시,종로구,삼청동,Samcheong-dong,사간동,1101054.0,1111054000
30,1111014500,서울특별시,종로구,삼청동,Samcheong-dong,송현동,1101054.0,1111054000
31,1111018400,서울특별시,종로구,부암동,Buam-dong,부암동,1101055.0,1111055000
32,1111018500,서울특별시,종로구,부암동,Buam-dong,홍지동,1101055.0,1111055000
33,1111018600,서울특별시,종로구,부암동,Buam-dong,신영동,1101055.0,1111055000
34,1111018200,서울특별시,종로구,평창동,Pyeongchang-dong,구기동,1101056.0,1111056000
35,1111018300,서울특별시,종로구,평창동,Pyeongchang-dong,평창동,1101056.0,1111056000
36,1111018700,서울특별시,종로구,무악동,Muak-dong,무악동,1101057.0,1111057000
37,1111017600,서울특별시,종로구,교남동,Gyonam-dong,교남동,1101058.0,1111058000
38,1111017700,서울특별시,종로구,교남동,Gyonam-dong,평동,1101058.0,1111058000
39,1111017800,서울특별시,종로구,교남동,Gyonam-dong,송월동,1101058.0,1111058000
40,1111017900,서울특별시,종로구,교남동,Gyonam-dong,홍파동,1101058.0,1111058000
41,1111018000,서울특별시,종로구,교남동,Gyonam-dong,교북동,1101058.0,1111058000
42,1111018100,서울특별시,종로구,교남동,Gyonam-dong,행촌동,1101058.0,1111058000
43,1111014600,서울특별시,종로구,가회동,Gahoe-dong,가회동,1101060.0,1111060000
44,1111014700,서울특별시,종로구,가회동,Gahoe-dong,재동,1101060.0,1111060000
45,1111014800,서울특별시,종로구,가회동,Gahoe-dong,계동,1101060.0,1111060000
46,1111014900,서울특별시,종로구,가회동,Gahoe-dong,원서동,1101060.0,1111060000
47,1111011900,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,세종로,1101061.0,1111061500
48,1111012200,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,청진동,1101061.0,1111061500
49,1111012300,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,서린동,1101061.0,1111061500
50,1111012400,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,수송동,1101061.0,1111061500
51,1111012500,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,중학동,1101061.0,1111061500
52,1111012600,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,종로1가,1101061.0,1111061500
53,1111012700,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,공평동,1101061.0,1111061500
54,1111012800,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,관훈동,1101061.0,1111061500
55,1111012900,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,견지동,1101061.0,1111061500
56,1111013000,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,와룡동,1101061.0,1111061500
57,1111013100,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,권농동,1101061.0,1111061500
58,1111013200,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,운니동,1101061.0,1111061500
59,1111013300,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,익선동,1101061.0,1111061500
60,1111013400,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,경운동,1101061.0,1111061500
61,1111013500,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,관철동,1101061.0,1111061500
62,1111013600,서울특별시,종로구,종로1·2·3·4가동,Jongno 1·2·3·4(ilisamsa)-ga-dong,인사동,1101061.0,1111061500
