,지점명,주소,구
0,새마새마을금고 ATM 서울대학병원," 대한민국 서울특별시 종로구 창경궁로22길, 11-4",종로구
1,신한신한은행 ATM 서울지방경찰청 지점," 대한민국 서울특별시 종로구 사직로8길, 31",종로구
2,국민국민은행ATM 서울경찰청로비," 대한민국 서울특별시 종로구 사직로8길, 31",종로구
3,신한신한은행 ATM 종로3가 점두365," 대한민국 서울특별시 종로구 종로, 128",종로구
4,신한신한은행ATM 영풍빌딩1층, 대한민국 서울특별시 종로구 서린동 33,종로구
5,기업기업은행 ATM, 대한민국 서울특별시 종로구 소격동 138-36,종로구
6,스탠스탠다드차타드은행ATM 낙원지점, 대한민국 서울특별시 종로구 낙원동 251,종로구
7,우리우리은행 ATM, 대한민국 서울특별시 종로구 청진동 종로3길 17,종로구
8,신한신한은행ATM 다산경제관 앞, 대한민국 서울특별시 종로구 명륜3가 53,종로구
9,우리우리은행 ATM, 대한민국 서울특별시 종로구 공평동 종로 51,종로구
10,신한신한은행 ATM 동대문종합시장," 대한민국 서울특별시 종로구 청계천로, 279",종로구
11,신한신한은행ATM SK빌딩지하, 대한민국 서울특별시 종로구 서린동 115-1,종로구
12,하나하나은행ATM, 대한민국 서울특별시 종로구 종로5.6가동 종로 241,종로구
13,신한신한은행 종로3가지점, 대한민국 서울특별시 종로구 종로3가 130,종로구
14,국민국민은행ATM 혜화전화국점, 대한민국 서울특별시 종로구 연건동 128-9,종로구
15,국민국민은행 ATM 종로3가," 대한민국 서울특별시 종로구 종로, 123",종로구
16,국민국민은행ATM, 대한민국 서울특별시 종로구 사직동 새문안로 76,종로구
17,신한신한은행 ATM 경복궁역 지점," 대한민국 서울특별시 종로구 자하문로, 1",종로구
18,국민국민은행ATM 종로중앙점," 대한민국 서울특별시 종로구 인사동5길, 29",종로구
19,신한신한은행 ATM (주)서울보증보험 지점," 대한민국 서울특별시 종로구 김상옥로, 29",종로구
20,새마새마을금고 ATM 명륜," 대한민국 서울특별시 종로구 성균관로, 55",종로구
21,우리우리은행 종로5가지점, 대한민국 서울특별시 종로구 종로5가 398-3,종로구
22,새마새마을금고 ATM 동문," 대한민국 서울특별시 종로구 종로44길, 9",종로구
23,신한신한은행 종로지점ATM, 대한민국 서울특별시 종로구 견지동 우정국로 48,종로구
24,새마새마을금고 ATM 세검정," 대한민국 서울특별시 종로구 평창11길, 6",종로구
25,신한신한은행 ATM 안국동 점두365," 대한민국 서울특별시 종로구 북촌로, 21",종로구
26,신한신한은행ATM 창신동지점, 대한민국 서울특별시 종로구 창신동 327-2,종로구
27,스탠스탠다드차타드은행ATM 종로5가역지점, 대한민국 서울특별시 종로구 종로5가 138-4,종로구
28,신한신한은행ATM 안국역, 대한민국 서울특별시 종로구 재동 95-2,종로구
29,미쓰미쓰비시UFJ은행 서울지점," 대한민국 서울특별시 종로구 서린동 청계천로 41, 영풍빌딩, 4층",종로구
30,국민국민은행ATM 이북5도청," 대한민국 서울특별시 종로구 비봉길, 64",종로구
31,하나하나은행ATM 성균관대제2교수회관, 대한민국 서울특별시 종로구 명륜3가 53,종로구
32,ATATM, 대한민국 서울특별시 종로구 관철동 종로12길 15,종로구
33,스탠스탠다드차타드은행ATM LG스타지원점, 대한민국 서울특별시 종로구 와룡동 5-9,종로구
34,KEKEB하나은행 ATM, 대한민국 서울특별시 종로구 돈의동 돈화문로5가길 1,종로구
35,우리우리은행 atm, 대한민국 서울특별시 종로구 관훈동 198-30,종로구
36,신한신한은행ATM, 대한민국 서울특별시 종로구 종로2가 종로 80-1,종로구
37,IBIBK기업은행 ATM, 대한민국 서울특별시 종로구 종로5.6가동 종로 275,종로구
38,NHNH농협은행 ATM, 대한민국 서울특별시 종로구 돈의동 돈화문로5가길 1,종로구
39,신한신한은행 ATM 종로금융센터 점두365," 대한민국 서울특별시 종로구 우정국로, 48",종로구
40,신한신한은행ATM 종로1지점, 대한민국 서울특별시 종로구 종로2가 75-7,종로구
41,신한신한은행 ATM 대학로점," 대한민국 서울특별시 종로구 대학로, 122",종로구
42,신한신한은행 ATM 동대문역," 대한민국 서울특별시 종로구 종로, 304-1",종로구
43,신한신한은행 ATM SK건설본점," 대한민국 서울특별시 종로구 인사동7길, 32",종로구
44,국민국민은행 ATM 경복궁역 365자동화점," 대한민국 서울특별시 종로구 자하문로, 6-1",종로구
45,우리우리은행 창신동지점, 대한민국 서울특별시 종로구 창신동 530-1,종로구
46,국민국민은행 ATM 청계," 대한민국 서울특별시 종로구 청계천로, 199",종로구
47,국민국민은행 ATM 창신동," 대한민국 서울특별시 종로구 종로, 330",종로구
48,국민국민은행ATM 혜화동점," 대한민국 서울특별시 종로구 창경궁로, 260",종로구
49,새마새마을금고 ATM 삼청(제1분소)," 대한민국 서울특별시 종로구 북촌로5가길, 11",종로구
50,농협농협ATM, 대한민국 서울특별시 중구 남대문로5가 퇴계로 10,중구
51,효성효성ATM서울도시철도공사동대문운동장역5, 대한민국 서울특별시 중구 광희동1가 마른내로 151,중구
52,씨티씨티은행 ATM, 대한민국 서울특별시 중구 다동 청계천로 24,중구
53,CiCitibank ATM Westin Chosun Seo...," 106 소공로 소공동, 중구 서울특별시, 대한민국",중구
54,신한신한은행 ATM 서울백병원," 대한민국 서울특별시 중구 마른내로, 9",중구
55,ATATM, 대한민국 서울특별시 중구 신당1동 마장로1길 18,중구
56,우리우리은행ATM 가톨릭회관센터점(점외), 대한민국 서울특별시 중구 명동2가 명동길 74,중구
57,스탠스탠다드차타드은행ATM 남산지점, 대한민국 서울특별시 중구 남대문로5가 541,중구
58,하나하나은행 ATM, 대한민국 서울특별시 중구 명동 을지로 66,중구
59,신한신한은행 ATM 소공동금융센터 점두365, 대한민국 서울특별시 중구 소공동 소공로 106,중구
60,한국한국씨티은행ATM 영지동지점, 대한민국 서울특별시 중구 장충동2가 208,중구
61,SCSC제일은행 ATM 제일지점, 대한민국 서울특별시 중구 충무로1가 53-1,중구
62,우체우체국 ATM, 대한민국 서울특별시 중구 소공동 70,중구
63,신한신한은행ATM 영업부1층, 대한민국 서울특별시 중구 태평로2가 120,중구
64,IBIBK기업은행ATM 삼성생명, 대한민국 서울특별시 중구 충무로5가 36-2,중구
65,신한신한은행 ATM 광화문 점두365," 대한민국 서울특별시 중구 세종대로, 135-5",중구
66,신한신한은행ATM 삼성타운점, 대한민국 서울특별시 중구 태평로2가 250,중구
67,우리우리은행ATM," 대한민국 서울특별시 중구 묵정동, 1-23",중구
68,신한신한은행 동대문점 ATM, 대한민국 서울특별시 중구 신당1동 마장로 11,중구
69,KCKCI 동대입구역, 대한민국 서울특별시 중구 장충동2가 189-2,중구
70,신한신한은행ATM, 대한민국 서울특별시 중구 회현동 퇴계로 10,중구
71,신한신한은행ATM 덕수지점, 대한민국 서울특별시 중구 서소문동 21-1,중구
72,신한신한은행 ATM 조선일보사," 대한민국 서울특별시 중구 세종대로21길, 33",중구
73,신한신한은행 ATM 백년관1층," 대한민국 서울특별시 중구 남대문로10길, 29",중구
74,MGMG새마을금고 365코너(ATM), 대한민국 서울특별시 중구 신당1동 마장로 13,중구
75,신한신한은행 무교금융센터, 대한민국 서울특별시 중구 다동 10,중구
76,우리우리은행, 대한민국 서울특별시 중구 인현동2가 마른내로 71,중구
77,SCSC제일은행 ATM(서소문지점), 대한민국 서울특별시 중구 서소문동 서소문로 116,중구
78,신한신한은행 ATM 포스트타워," 대한민국 서울특별시 중구 소공로, 70",중구
79,롯데롯데ATM, 대한민국 서울특별시 중구 을지로1가 을지로 30,중구
80,신한신한은행 ATM 명동금융센터 점두365," 대한민국 서울특별시 중구 명동길, 43",중구
81,신한신한은행 광화문지점, 대한민국 서울특별시 중구 태평로1가 62-12,중구
82,신한신한은행ATM 을지로점내, 대한민국 서울특별시 중구 을지로3가 334-2,중구
