,은행명,지로코드,점포명,지점/출장소,점포형태(대), 점포형태(소),모점명,영업본부,특,구/시/군,구/읍/면/동,말단행정구역,건물번호 등,도로명,개점일,전화번호
0,산업은행,0027054,도곡,지점,기업,,,강남지역본부,서울특별시,강남구,도곡동,,467-7,남부순환로 2803,2005-05-30 00:00:00,02-3498-3800
1,산업은행,0027083,반포,지점,기업,,,강남지역본부,서울특별시,서초구,반포동 ,,18-3,반포대로 287,2011-01-24 00:00:00,02-3488-8500
2,산업은행,0027041,서초,지점,기업,,,강남지역본부,서울특별시,서초구,서초동,,1319-6,서초대로78길 5,1996-04-29 00:00:00,02-3488-7500
3,산업은행,0023113,압구정,지점,기업,,,강남지역본부,서울특별시,강남구,신사동,,611,논현로 878,1986-11-12 00:00:00,02-3218-0900
4,산업은행,0023168,잠실,지점,기업,,,강남지역본부,서울특별시,송파구,신천동,,7-19,올림픽로 289,1989-06-26 00:00:00,02-2240-8200
5,산업은행,0027258,잠원,지점,기업,,,강남지역본부,서울특별시,서초구,잠원동,,36-14,강남대로 565,2012-04-27 00:00:00,02-2240-1500
6,산업은행,0027973,한티,지점,기업,,,강남지역본부,서울특별시,강남구,대치동,,1024,도곡로 408,2010-03-26 00:00:00,02-3469-2300
7,산업은행,0027164,가산,지점,기업,,,강북지역본부,서울특별시,금천구,가산동,,371-37,가산디지털1로 128,2011-02-14 00:00:00,02-2081-3500
8,산업은행,0027012,금천,지점,기업,,,강북지역본부,서울특별시,금천구,독산동,,954-4,시흥대로 488,1991-10-25 00:00:00,02-3282-8900
9,산업은행,0027038,노원,지점,기업,,,강북지역본부,서울특별시,노원구,상계동,,712-1,노해로 467,1993-10-11 00:00:00,02-950-9500
10,산업은행,0023320,마곡,지점,기업,,,강북지역본부,서울특별시,강서구,마곡동,,799-4,공항대로 200,2011-07-27 00:00:00,02-398-9600
11,산업은행,0023155,마포,지점,기업,,,강북지역본부,서울특별시,마포구,서교동,,353-4,양화로 127,1989-06-28 00:00:00,02-3140-0400
